Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
107325,1758,456148,5730006,826,m,2011,January,1,4,1,2011,04/01/2011,4,22,88,40547,Gold Creek,Bush Arm,delta
109378,1806,400596,5781042,595,f,2011,January,1,4,1,2011,04/01/2011,4,22,88,40547,West Islands (replaced with 105468),Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,4,1,2011,04/01/2011,4,23,92,40547,Mouth of Wood Arm,Confluence,delta
107325,1744,456148,5730006,696,m,2011,January,1,4,1,2011,04/01/2011,4,23,92,40547,Gold Creek,Bush Arm,delta
107325,1758,456148,5730006,826,m,2011,January,1,4,1,2011,04/01/2011,4,23,92,40547,Gold Creek,Bush Arm,delta
109378,1806,400596,5781042,595,f,2011,January,1,4,1,2011,04/01/2011,4,23,92,40547,West Islands (replaced with 105468),Confluence,Reservoir
109391,1612,401896,5781275,606,f,2011,January,1,5,1,2011,05/01/2011,5,1,5,40548,Molson Creek (replaced),Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,5,1,2011,05/01/2011,5,1,5,40548,Mouth of Wood Arm,Confluence,delta
107325,1758,456148,5730006,826,m,2011,January,1,5,1,2011,05/01/2011,5,1,5,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,1,5,40548,Centre outer forebay,Confluence,Reservoir
109390,1692,403809,5773798,595,f,2011,January,1,5,1,2011,05/01/2011,5,2,10,40548,Welsh Bay,Confluence,Reservoir
107325,1758,456148,5730006,826,m,2011,January,1,5,1,2011,05/01/2011,5,2,10,40548,Gold Creek,Bush Arm,delta
109391,1612,401896,5781275,606,f,2011,January,1,5,1,2011,05/01/2011,5,3,15,40548,Molson Creek (replaced),Confluence,Reservoir
109378,1806,400596,5781042,595,f,2011,January,1,5,1,2011,05/01/2011,5,3,15,40548,West Islands (replaced with 105468),Confluence,Reservoir
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,3,15,40548,Centre outer forebay,Confluence,Reservoir
109391,1612,401896,5781275,606,f,2011,January,1,5,1,2011,05/01/2011,5,4,20,40548,Molson Creek (replaced),Confluence,Reservoir
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,4,20,40548,Centre outer forebay,Confluence,Reservoir
109391,1612,401896,5781275,606,f,2011,January,1,5,1,2011,05/01/2011,5,5,25,40548,Molson Creek (replaced),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,5,1,2011,05/01/2011,5,5,25,40548,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,5,25,40548,Gold Creek,Bush Arm,delta
107325,1758,456148,5730006,826,m,2011,January,1,5,1,2011,05/01/2011,5,5,25,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,5,25,40548,Centre outer forebay,Confluence,Reservoir
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,6,30,40548,Gold Creek,Bush Arm,delta
107325,1758,456148,5730006,826,m,2011,January,1,5,1,2011,05/01/2011,5,6,30,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,6,30,40548,Centre outer forebay,Confluence,Reservoir
109369,1688,401855,5772877,645,f,2011,January,1,5,1,2011,05/01/2011,5,8,40,40548,Red rock (middle),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,5,1,2011,05/01/2011,5,9,45,40548,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,9,45,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,9,45,40548,Centre outer forebay,Confluence,Reservoir
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,10,50,40548,Centre outer forebay,Confluence,Reservoir
109369,1934,401855,5772877,434,m,2011,January,1,5,1,2011,05/01/2011,5,10,50,40548,Red rock (middle),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,5,1,2011,05/01/2011,5,11,55,40548,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,11,55,40548,Centre outer forebay,Confluence,Reservoir
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,12,60,40548,Gold Creek,Bush Arm,delta
